agno;mes;dia;pmen;tmax;tmin
1984;11;18;17.5;22.7;10.6
1984;12;18;0;24.4;12.6
1985;1;18;0;25;12.9
1985;2;18;0;25.7;13.4
1985;3;18;5;25.1;12.9
1985;4;18;10;21.5;9.8
1985;5;18;3;22.2;10.8
1985;6;18;16;21.8;10.4
1985;7;18;68.4;16.6;6
1985;8;18;1.5;19.2;6.4
1985;9;18;0;20.7;9.3
1985;10;18;25;21.3;9.6
1985;11;18;0;24.5;10.9
1985;12;18;0;26.1;12.6
1986;1;18;0;27;13.4
1986;2;18;0;26;13.8
1986;3;18;0;26.1;13.3
1986;4;18;0;23.9;10.7
1986;5;18;103.5;19.6;7.9
1986;6;18;53;17.3;6
1986;7;18;28.5;20.8;7.4
1986;8;18;61;17.4;5.9
1986;9;18;3;19.8;6.5
1986;10;18;20;22.4;10
1986;11;18;0;23.4;10.3
1986;12;18;0;27.8;12.6
1987;1;18;0;29.1;15
1987;2;18;11;29.7;15
1987;3;18;8;26.1;13.2
1987;4;18;10.5;24.7;9.8
1987;5;18;23;17.6;6.4
1987;6;18;49.5;21.1;8.5
1987;7;18;354.4;13.3;4.4
1987;8;18;236;15.8;5.8
1987;9;18;0;19.7;7.7
1987;10;18;6;22.3;9.9
1987;11;18;0;26.2;11.7
1987;12;18;0;27.5;12.3
1988;1;18;0;27.4;12.5
1988;2;18;0;26.4;12.1
1988;3;18;0;26.8;11.6
1988;4;18;0;24.9;9.8
1988;5;18;12.3;19.6;7.4
1988;6;18;22;19;5.8
1988;7;18;0;17.5;4.6
1988;8;18;10;19;5.3
1988;9;18;19;19;5.2
1988;10;18;0;23.7;8.7
1988;11;18;0;27.2;12.1
1988;12;18;0;26.6;11.5
1989;1;18;0;27.8;11.9
1989;2;18;0;28.6;12.6
1989;3;18;0;26.5;11
1989;4;18;28.5;24.6;9.7
1989;5;18;87.5;22;9.1
1989;6;18;2;20.7;7.5
1989;7;18;72.5;17.9;5.3
1989;8;18;161.5;18.5;6.6
1989;9;18;5;19.3;6.8
1989;10;18;0;24.4;9.9
1989;11;18;0;24.9;9.3
1989;12;18;0;26.4;11.6
1990;1;18;0;28.6;11.3
1990;2;18;0;28.2;10
1990;3;18;0;26.7;11.6
1990;4;18;0;22.8;9.3
1990;5;18;2.5;22.1;8.1
1990;6;18;9.2;22;9.1
1990;7;18;91;18.3;5.7
1990;8;18;11;22.1;8.3
1990;9;18;42;20.3;7
1990;10;18;0;22.3;7.8
1990;11;18;0;26.1;9.9
1990;12;18;0;27.8;12.2
1991;1;18;0;28.3;13.1
1991;2;18;0;28.9;13.3
1991;3;18;0;27.5;12.5
1991;4;18;9.5;24;11.2
1991;5;18;65;21.7;9.3
1991;6;18;255;16.3;6.1
1991;7;18;60.5;16.8;5.9
1991;8;18;6;19.3;6.4
1991;9;18;52;21.3;8.8
1991;10;18;0;21.7;8.2
1991;11;18;0;24.3;10
1991;12;18;7.5;24.5;11.1
1992;1;18;0;28.3;13.3
1992;2;18;0;26.9;12.1
1992;3;18;26;26;12
1992;4;18;48.2;21.6;9.4
1992;5;18;48.2;18.5;8.2
1992;6;18;253.4;18.2;6
1992;7;18;16.2;16.3;3.8
1992;8;18;77.3;18.9;5.5
1992;9;18;0;22.2;9.4
1992;10;18;0;23.7;8.2
1992;11;18;26.1;24.6;10.7
1992;12;18;0;26.9;11.4
1993;1;18;0;28.1;13.1
1993;2;18;0;27.7;12.1
1993;3;18;0;27.6;12.2
1993;4;18;61.3;23.8;10.2
1993;5;18;120.6;17.8;5.7
1993;6;18;1.2;20.2;7.3
1993;7;18;45.5;17.7;5.3
1993;8;18;32.5;20.4;6.3
1993;9;18;18.5;20.1;6
1993;10;18;0;23.4;9.6
1993;11;18;0;25.3;10.8
1993;12;18;0;27.2;11.9
1994;1;18;0;27.6;13
1994;2;18;0;27.6;12
1994;3;18;0;27.2;11.7
1994;4;18;5.7;25.1;11
1994;5;18;13.1;22.7;8
1994;6;18;47.8;20.2;6.9
1994;7;18;35.9;16.7;5.1
1994;8;18;14.8;20.3;7
1994;9;18;0;24;9.8
1994;10;18;0;22.5;8.1
1994;11;18;0;25.8;10
1994;12;18;0;28.9;12.5
1995;1;18;32;27.7;12.9
1995;2;18;0;26.7;11.1
1995;3;18;0;26.8;10.7
1995;4;18;7.7;24.9;9.9
1995;5;18;0;24.3;9.7
1995;6;18;29.1;20.8;7.9
1995;7;18;20.6;15.5;4.1
1995;8;18;0;19.6;4.9
1995;9;18;17;21.3;8.4
1995;10;18;0;24;8.9
1995;11;18;0;26.1;10.4
1995;12;18;6.1;28.1;12.2
1996;1;18;0;26.9;11.7
1996;2;18;0;28.2;12.5
1996;3;18;0;27.2;11.5
1996;4;18;13.1;23.5;8.2
1996;5;18;0;23.4;8.3
1996;6;18;36.5;18.1;5.7
1996;7;18;91.4;20;7.2
1996;8;18;59.2;18.8;6.1
1996;9;18;3;22.1;7.3
1996;10;18;0;23.4;7.9
1996;11;18;0;27;11.2
1996;12;18;0;27.1;11.9
1997;1;18;0;27.8;13
1997;2;18;0;29.3;13.3
1997;3;18;13.5;27.1;12.5
1997;4;18;0;26.4;11.7
1997;5;18;0;22.8;10.1
1997;6;18;514.2;13.1;4.8
1997;7;18;31;19;7.4
1997;8;18;232.3;18.8;7.9
1997;9;18;45.6;19.3;7.8
1997;10;18;56.9;19;7.1
1997;11;18;0;24.1;10.4
1997;12;18;0;26.6;12.2
1998;1;18;0;29.7;14.1
1998;2;18;0;26.5;13.5
1998;3;18;8.4;26.6;13.1
1998;4;18;0;21.2;9.9
1998;5;18;3.2;21.6;9.1
1998;6;18;59.9;18.4;7
1998;7;18;0;20.1;6.5
1998;8;18;0;20.4;6.1
1998;9;18;6;19.3;7
1998;10;18;0;25.3;10.1
1998;11;18;0;26.1;10.7
1998;12;18;0;27.9;12
1999;1;18;0;27.2;12.1
1999;2;18;0;28.5;13.2
1999;3;18;9.2;26.2;11.6
1999;4;18;7.2;24.7;10.1
1999;5;18;52.7;22.2;8.5
1999;6;18;50.5;18.6;6.9
1999;7;18;0;17.7;5.6
1999;8;18;11.4;20.3;7.8
1999;9;18;76.4;18.8;7
1999;10;18;11.7;22.1;8.7
1999;11;18;0;24.2;9.9
1999;12;18;0;26.7;11.6
2000;1;18;0;27.8;13.1
2000;2;18;0;27.2;12
2000;3;18;0;26.6;11.4
2000;4;18;28.5;25;9.8
2000;5;18;29.5;20;6.9
2000;6;18;225.1;14.6;3.3
2000;7;18;110.6;17.4;5.6
2000;8;18;0;20.4;7.2
2000;9;18;64.9;19.2;6.5
2000;10;18;0;23.9;9.4
2000;11;18;0;23.9;10.3
2000;12;18;0;27.6;11.9
2001;1;18;0;28.3;13
2001;2;18;0;28.9;13.7
2001;3;18;6;26;12.5
2001;4;18;2.5;24.1;9.7
2001;5;18;12.2;20.3;7.5
2001;6;18;0;20.7;6.6
2001;7;18;156.1;17.9;6.6
2001;8;18;86;18.7;7.2
2001;9;18;9.5;17.5;5.4
2001;10;18;19.2;23.9;8.8
2001;11;18;0;24.4;9.7
2001;12;18;4.1;28.1;11.7
2002;1;18;0;27.4;13.2
2002;2;18;0;28.4;14.5
2002;3;18;0;27.4;12.8
2002;4;18;30.5;22.1;9.1
2002;5;18;274.5;19.7;6.9
2002;6;18;102;17.5;7.4
2002;7;18;180.3;16.1;5.7
2002;8;18;78;17.8;6.7
2002;9;18;18.1;20.2;8.2
2002;10;18;0;23.3;9.1
2002;11;18;0;25.2;11
2002;12;18;0;25.9;11.3
2003;1;18;0;28.5;13.2
2003;2;18;0;27.5;12.6
2003;3;18;0;27.6;12.1
2003;4;18;0;24.9;9.3
2003;5;18;131.7;22.5;9.1
2003;6;18;27;20.3;8.8
2003;7;18;50.6;18;6.5
2003;8;18;4;22;9.2
2003;9;18;0;22.3;8.2
2003;10;18;0;25.3;9.9
2003;11;18;0;27.4;10.8
2003;12;18;0;28.2;11.5
2004;1;18;0;29.4;12.8
2004;2;18;0;28.7;12.3
2004;3;18;15.1;28.5;12.7
2004;4;18;56;23.9;8.7
2004;5;18;0;22;6.7
2004;6;18;18;21.6;8.1
2004;7;18;60.6;18.7;6
2004;8;18;76.5;18.4;5.2
2004;9;18;17;23.4;9.4
2004;10;18;4.5;23.4;9.1
2004;11;18;20;24.6;10.4
2004;12;18;0;28.4;12.1
2005;1;18;0;28.6;12.5
2005;2;18;0;30.9;14
2005;3;18;43;27;11.2
2005;4;18;19.5;24.9;9.6
2005;5;18;95.1;19.2;7.1
2005;6;18;132;20.4;7.6
2005;7;18;15;19.2;6.2
2005;8;18;123.7;19.3;7.8
