agno,mes,dia,pmen,tmax,tmin
1983,8,3,47.5,17.4,6.9
1983,9,3,0.9,21.5,9.4
1983,10,3,0,25,9.8
1983,11,3,0,25.4,10.4
1983,12,3,0,26,12.3
1984,1,3,0,28.6,13.8
1984,2,3,0,27.6,12.8
1984,3,3,0,26.2,12.7
1984,4,3,0,24.7,11.1
1984,5,3,7.5,20,8.1
1984,6,3,3,16.8,6.3
1984,7,3,346.5,17.1,7.7
1984,8,3,3,19.4,7.8
1984,9,3,1.5,20.9,9.6
1984,10,3,0,24.9,12
1984,11,3,0.9,25,12
1984,12,3,0,27.1,14.4
1985,1,3,0,27.2,15.8
1985,2,3,0,28.5,15.7
1985,3,3,8.4,25.4,15
1985,4,3,0,24.3,11.2
1985,5,3,2.5,22.4,9.7
1985,6,3,1,20.8,8.5
1985,7,3,42.5,17.2,6.7
1985,8,3,6.5,18.8,6.7
1985,9,3,0,21.5,8.8
1985,10,3,0.8,23.3,11.1
1985,11,3,0,24.1,12
1985,12,3,0,26.8,13.7
1986,1,3,0,28,14.9
1986,2,3,0,27.1,14.6
1986,3,3,0,27.2,13.3
1986,4,3,0,24.9,10.6
1986,5,3,55.5,21.6,9.9
1986,6,3,5.5,17.9,7.8
1986,7,3,1.4,21.6,7.2
1986,8,3,18,20.1,8
1986,9,3,2,22.4,8.1
1986,10,3,0,24.3,11.6
1986,11,3,0,25.1,12.3
1986,12,3,0,29,14.6
1987,1,3,0,28.9,14.5
1987,2,3,0,29.5,15.7
1987,3,3,0,26,14.3
1987,4,3,2.3,25.8,11.5
1987,5,3,22.3,19.1,8
1987,6,3,29.8,22.5,8.4
1987,7,3,325.8,16,8.4
1987,8,3,96.3,19,9.7
1987,9,3,3.7,21.3,10.1
1987,10,3,2.8,23.5,11
1987,11,3,0,26.7,13.1
1987,12,3,0,27.8,14.3
1988,1,3,0,27.1,13.8
1988,2,3,0,28,14.2
1988,3,3,0,27.7,13.7
1988,4,3,0,25.2,11
1988,5,3,0.8,21.8,9.4
1988,6,3,14,20.2,7.3
1988,7,3,0.3,17.4,5.3
1988,8,3,9.5,20.6,6.6
1988,9,3,4.3,20.3,6.6
1988,10,3,0,25.6,11.4
1988,11,3,0,25.6,12
1988,12,3,0,26.4,12.6
1989,1,3,0,27.2,14.4
1989,2,3,0,28.4,15
1989,3,3,0,26.5,12.4
1989,4,3,1.7,23.5,10.1
1989,5,3,16.9,21.5,7.5
1989,6,3,0,20.6,6.8
1989,7,3,43.5,18.6,5.8
1989,8,3,54.5,19.5,8
1989,9,3,0,19.4,7
1989,10,3,0,24.4,9.6
1989,11,3,0,25.4,11.2
1989,12,3,0,28,13.6
1990,1,3,0,28.7,14.3
1990,2,3,0,27.8,13.8
1990,3,3,0,26.6,12.7
1990,4,3,0,22.8,10.1
1990,5,3,0,23.3,8.4
1990,6,3,13,23.2,8.4
1990,7,3,21.6,19.4,7
1990,8,3,6.8,22,6.8
1990,9,3,6.1,22.3,8.5
1990,10,3,2,22.6,8.5
1990,11,3,0,25.4,10.8
1990,12,3,0,28,13.7
1991,1,3,0,28.7,14.5
1991,2,3,0,28.1,13.9
1991,3,3,0,26.3,13.5
1991,4,3,0,24.5,11.3
1991,5,3,25.8,23.6,10.1
1991,6,3,177.1,18.8,8.1
1991,7,3,31.5,17.8,7.7
1991,8,3,0,17.7,7.2
1991,9,3,13.5,22.9,10.6
1991,10,3,0,23.2,9.2
1991,11,3,0,25.9,10.9
1991,12,3,0.7,26.2,13.4
1992,1,3,0,28.7,14.6
1992,2,3,0,27.8,14.3
1992,3,3,26.5,26,14
1992,4,3,9.8,23.3,11.4
1992,5,3,32,20.3,9.5
1992,6,3,186.2,15.6,7.3
1992,7,3,0,17.3,6.5
1992,8,3,101.5,19.6,6.4
1992,9,3,1.2,19.8,8.1
1992,10,3,0,25.9,11.3
1992,11,3,1.8,24.3,11.3
1992,12,3,0,27,13.3
1993,1,3,0,29.1,16.4
1993,2,3,0,27.8,16.1
1993,3,3,0,27.4,14.7
1993,4,3,37,24.6,13.7
1993,5,3,78,20.4,9.3
1993,6,3,0,20.8,7.6
1993,7,3,26,19.2,5.8
1993,8,3,6,22.3,7.8
1993,9,3,0,21.7,7.8
1993,10,3,0,24.4,9.9
1993,11,3,0,26.8,13.2
1993,12,3,0,27.6,13.8
1994,1,3,0,27.4,15
1994,2,3,0,27.8,13.8
1994,3,3,0,26,12.5
1994,4,3,0,26.4,11.9
1994,5,3,7.5,23.3,9.5
1994,6,3,27.5,21.7,8.3
1994,7,3,10.8,19.2,7.1
1994,8,3,0,21.3,8.7
1994,9,3,0,25.7,12.1
1994,10,3,0,25,10.7
1994,11,3,0,27.1,12.4
1994,12,3,0,29,14.9
1995,1,3,8.5,28.8,15
1995,2,3,0,27.4,13.8
1995,3,3,0,27.3,13.9
1995,4,3,9,26.1,12.9
1995,5,3,0,25,9.9
1995,6,3,8,24,8.9
1995,7,3,27.2,18.3,5.3
1995,8,3,8.8,20.8,6.9
1995,9,3,2.7,21.8,9.8
1995,10,3,0,25.6,11.4
1995,11,3,0,25.7,11.3
1995,12,3,0,26.6,12.6
1996,1,3,0,28.1,14
1996,2,3,0,28.3,13.4
1996,3,3,0,27.5,12.7
1996,4,3,6.7,24.2,9.6
1996,5,3,0,23.5,4.1
1996,6,3,2.5,19.9,6
1996,7,3,37,21.4,7.1
1996,8,3,9.5,19.6,6.3
1996,9,3,0,23.5,7.7
1996,10,3,0,24.4,9
1996,11,3,0,27.6,12.9
1996,12,3,0,27.4,12.8
1997,1,3,0,29.2,15.2
